,faithfulness,answer_relevancy,context_relevancy,question
0,0.75,0.8482978672237511,0.25882352941176473,"Was denken die Parteien darüber, mehr Geld für die Armee auszugeben, um Europa sicher zu halten?"
1,0.6666666666666666,0.8818936548117545,0.04716981132075472,"Was sagen die Parteien, wie wir Transgender-Menschen helfen und dafür sorgen können, dass alle fair behandelt werden?"
2,1.0,0.8886043778853102,0.08823529411764706,Sollen wir in Europa mehr für den Schutz unserer Umwelt tun?
3,0.6666666666666666,0.8544237070459714,0.06593406593406594,"Wie wollen die Parteien den Bauern helfen, so zu arbeiten, dass es gut für die Natur ist und sie trotzdem Geld verdienen können?"
4,0.16666666666666666,0.8152576517789719,0.0,"Was denken die Parteien darüber, wie Europa mit anderen Ländern Handel treibt, und dass es dabei gerecht und gut für die Umwelt sein soll?"
5,0.3333333333333333,0.8451975822411346,0.0,"Wie möchten die Parteien Verbrechen stoppen, ohne dass sich Menschen unfair behandelt fühlen?"
6,0.75,0.847476442357958,0.11764705882352941,"Was ist die Meinung der Parteien dazu, wie Menschen, die aus anderen Ländern fliehen, in Europa verteilt werden sollen?"
7,1.0,0.8726601224778161,0.0,Sollen Männer mit Männern und Frauen mit Frauen heiraten dürfen? 
8,0.75,0.8011818395885761,0.0,"Wie finden die Parteien, dass wir Fische fangen sollten, damit das Meer und die Tiere geschützt werden?"
9,0.875,0.8111648733902505,0.0989010989010989,"Was wollen die Parteien tun, damit es Tieren auf den Bauernhöfen und bei der Herstellung von Essen besser geht?"
10,0.75,0.9032566611329375,0.07792207792207792,"Wie möchten die Parteien sicherstellen, dass Europas Armee stark ist und wir trotzdem gut mit anderen Ländern wie den USA zusammenarbeiten?"
11,1.0,0.8444137055801568,0.04672897196261682,"Was haben die Parteien für Ideen, um jungen Menschen zu helfen, die keine Arbeit haben?"
12,1.0,0.842021324082313,0.07526881720430108,"Wie schnell sollen wir in Europa aufhören, dreckige Energie zu nutzen, und was sind die Pläne der Parteien dafür?"
13,0.8333333333333334,0.8412259461942435,0.0,"Wie wollen die Parteien kleinen Bauernhöfen helfen und gleichzeitig darauf achten, dass sie die Natur nicht kaputt machen?"
14,0.0,0.0,0.0,"Was denken die Parteien darüber, wie Europa mit China Geschäfte macht und dabei darauf achtet, dass niemand unfair behandelt wird?"
15,1.0,0.8578617926705062,0.6590909090909091,"Was sagen die Parteien zu Kameras und Technik, die dabei helfen, Verbrechen zu stoppen, ohne dass unsere Privatsphäre gestört wird?"
16,0.5,0.8391983833258952,0.0,"Sollen mehr Länder in die EU kommen, wie zum Beispiel Länder aus dem Balkan oder die Türkei? Was denken die deutschen Parteien?"
17,0.6666666666666666,0.9312117172379742,0.033707865168539325,"Was sind die Ideen der Parteien, um Europa in Dingen wie Computern und neuen Erfindungen besser zu machen?"
18,0.6,0.7876940498614852,0.0,"Wie wollen die Parteien sicherstellen, dass wir im Meer nicht zu viele Fische fangen und die Unterwasserwelt schützen?"
19,1.0,0.8158707522415442,0.10526315789473684,"Wie wollen die Parteien sicherstellen, dass es Tieren beim Züchten und Transportieren gut geht?"
20,0.0,0.9041633013261091,0.1651376146788991,"Wie denken die Parteien darüber, dass Europa zusammenarbeitet, um weniger dreckige Energie zu nutzen und mehr saubere Energie?"
21,1.0,0.8586156890210314,0.0,Wie möchten die Parteien unsere Geschichte und Kulturen in Europa bewahren und zeigen?
